10-13 16:18:01  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Running, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0]

10-13 16:18:02  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:03  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:04  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:05  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:06  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:07  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:08  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:09  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:10  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:11  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:12  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:13  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:14  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:15  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:16  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:17  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:18  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

10-13 16:18:19  deviceExecutor:java.util.concurrent.ThreadPoolExecutor@1e2ddfe3[Terminated, pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 2]

